Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,28743.581163470684,20,20,0,10,28743.581163470684,10,0
3600,3600,7199.9,30925.86183674743,20,20,2,7,30925.86183674743,7,2
3600,7200,10799.9,34711.0747244731,20,20,6,13,34711.0747244731,13,6
3600,10800,14399.9,35992.546490865425,20,20,8,9,35992.546490865425,9,8
3600,14400,17999.9,21109.646946783272,20,20,1,10,21109.646946783272,10,1
3600,18000,21599.9,32930.03201163463,20,20,9,10,32930.03201163463,10,9
3600,21600,25199.9,34136.76779394013,20,20,4,8,34136.76779394013,8,4
3600,25200,28799.9,31973.122703266068,20,20,7,8,31973.122703266068,8,7
3600,28800,32399.9,31602.41756494249,20,20,3,9,31602.41756494249,9,3
3600,32400,35999.9,35097.8661773411,20,20,8,8,35097.8661773411,8,8
